"year","hatchdate","cs","layday","recruit"
1987,130,11,17,3
1986,146,9,35,3
1987,131,9,21,1
1988,149,6,41,0
1989,128,9,13,1
1987,132,11,20,1
1987,129,11,17,3
1987,140,12,28,2
1987,132,9,22,1
1988,134,9,22,0
1987,138,9,29,0
1988,146,10,36,0
1989,140,10,31,0
1988,146,8,37,0
1987,137,9,26,1
1989,135,7,18,1
1987,133,9,21,1
1988,136,7,23,0
1990,133,8,22,2
1986,148,8,37,1
1986,150,7,39,4
1987,133,9,23,5
1987,137,11,26,1
1986,150,9,41,2
1986,151,9,40,0
1986,152,7,42,3
1987,132,7,21,1
1988,138,7,26,2
1986,154,14,37,0
1990,130,11,16,1
1989,139,12,24,0
1989,133,10,15,3
1986,175,9,63,NA
1989,130,11,17,0
1987,124,12,12,1
1988,134,9,21,0
1986,152,5,42,1
1987,135,9,25,1
1987,132,10,19,1
1988,137,9,26,0
1986,151,8,40,2
1986,141,5,31,0
1987,129,10,19,0
1986,145,7,35,0
1986,148,11,35,3
1988,143,9,25,0
1987,146,11,36,1
1986,148,8,36,3
1986,150,8,35,0
1987,131,12,18,0
1988,141,7,29,0
1986,150,8,40,0
1987,136,11,25,4
1986,154,9,44,1
1987,135,9,25,3
1988,135,8,22,2
1989,131,10,16,0
1986,155,7,45,1
1987,133,11,21,0
1986,154,9,44,1
1986,154,12,38,2
1989,131,9,14,1
1990,126,9,10,0
2002,116,8,6,2
2001,139,7,28,0
2001,132,8,17,0
2001,136,8,25,3
2001,138,6,26,0
2001,141,7,29,0
2001,142,6,31,0
2001,140,9,28,1
2004,131,9,18,2
2001,141,8,30,0
2007,131,11,19,0
2006,137,9,25,0
2005,135,11,19,2
2002,124,12,7,1
2002,123,8,9,0
2003,130,7,19,0
2001,144,9,32,0
2001,142,8,34,0
2001,144,8,34,0
2001,145,7,31,0
2004,128,12,12,5
2001,144,8,35,1
2003,133,10,19,2
2003,135,10,21,0
2002,128,12,14,3
2002,125,7,15,0
2001,149,7,41,0
2001,145,9,33,0
2001,147,10,22,0
2002,141,10,38,0
2001,151,6,41,0
2005,139,9,29,0
2004,NA,6,43,0
1986,157,9,47,0
1986,154,9,46,1
1987,132,8,22,2
1988,136,8,22,0
1986,148,8,35,1
1987,136,12,23,1
1986,153,11,42,0
1987,134,9,24,4
1986,157,10,44,1
1987,134,12,21,3
1986,157,9,44,0
1987,136,12,23,3
1986,161,9,46,2
1986,153,7,42,1
1986,152,8,42,0
1987,132,12,19,1
1988,142,11,29,0
1986,152,10,40,0
1986,149,8,37,1
1987,132,10,21,3
1987,133,12,20,1
1985,139,8,29,2
1985,139,8,30,1
1986,155,10,44,2
1985,142,9,32,0
1987,138,10,27,1
1987,133,8,22,3
1985,143,8,32,0
1989,139,8,31,0
1988,150,7,42,0
1986,151,10,40,0
1990,137,10,28,0
1987,137,11,26,2
1986,150,10,40,2
1985,146,9,35,3
1988,144,9,34,0
1988,144,8,35,0
1985,140,9,30,1
1985,143,8,30,0
1985,144,11,29,1
1986,148,9,36,1
1985,144,10,31,1
1988,139,7,26,0
1985,148,8,36,0
1985,154,7,45,1
1986,150,8,40,0
1985,140,9,29,3
1986,149,9,37,0
1985,144,9,31,2
1985,146,10,35,1
1985,144,10,32,2
1987,133,11,21,1
1988,147,10,35,0
1985,141,9,29,1
1986,152,10,39,2
1986,156,9,46,1
1987,135,8,24,0
1985,141,7,33,2
1988,147,7,38,0
1986,147,8,37,1
1989,127,8,16,3
1986,147,9,36,0
1988,141,8,28,0
1989,126,11,10,1
1988,145,9,33,2
1989,139,9,26,0
1988,144,9,32,0
1990,131,10,17,0
1989,133,9,19,1
1988,137,7,26,1
1988,144,9,34,0
1988,143,7,34,0
2014,125,10,11,0
2013,142,5,32,0
2013,147,8,37,0
2013,146,8,40,2
2014,123,12,5,0
2014,126,6,14,1
2016,140,6,24,0
2017,124,9,9,0
2015,128,8,14,2
2015,127,9,16,1
2016,156,7,46,0
2015,136,9,20,0
2016,145,8,27,0
2013,152,5,47,1
2014,129,8,17,1
2015,135,6,26,0
2016,145,8,36,1
2017,122,6,12,1
2016,146,6,37,0
2015,127,7,18,2
2016,145,5,37,0
2015,126,7,16,1
2014,126,6,13,0
2015,136,7,25,2
2014,133,6,18,0
2017,111,8,1,2
2018,126,8,16,3
2016,124,7,15,5
2015,119,8,9,0
2019,109,9,-4,NA
2015,125,9,14,0
2015,161,8,53,0
2015,129,8,18,0
2015,129,10,17,3
2018,136,9,23,2
2016,148,10,36,0
2019,144,8,47,0
2017,127,9,14,0
2018,132,10,20,1
2017,121,12,8,1
2019,120,12,4,1
2016,133,9,18,1
2015,130,10,18,0
2017,119,8,7,0
2015,128,6,19,0
2016,131,6,20,1
2015,134,6,26,0
2015,134,7,22,0
2017,126,7,14,0
2015,131,6,21,1
2015,135,6,24,0
2015,136,8,23,1
2016,150,9,39,0
2017,130,10,13,0
2017,158,7,50,0
2015,133,10,19,0
2014,134,8,25,0
2017,122,10,9,0
2016,134,7,19,0
2015,130,9,18,1
2015,127,7,17,0
2014,117,9,6,0
2015,123,10,11,1
2016,131,11,15,0
2015,126,9,15,0
2015,125,9,12,0
2014,118,8,4,0
2014,127,10,12,0
2014,125,5,15,0
2015,132,5,20,0
2014,125,5,15,0
2016,135,8,19,1
2015,125,11,13,5
2016,140,6,30,0
2015,131,6,21,0
2016,150,7,40,NA
2017,127,8,16,1
2018,136,8,26,1
2015,137,6,25,1
2014,124,7,11,0
2016,144,6,36,NA
2015,129,7,18,0
2014,126,8,14,1
2015,130,9,17,1
2016,140,8,24,0
2014,127,8,12,1
2015,127,9,16,0
2014,131,6,19,0
2015,128,8,18,0
2017,121,9,7,0
2018,128,8,18,1
2019,124,8,11,0
2016,145,6,36,0
2018,133,9,19,1
2017,121,9,10,0
2016,143,5,36,0
2015,NA,5,26,0
2017,115,7,4,1
2018,130,8,19,1
2016,128,6,17,0
2015,122,6,13,0
2015,126,8,14,0
2016,147,7,24,NA
2015,131,7,20,0
2016,139,8,22,0
2017,120,7,6,0
2018,135,7,19,0
2015,134,7,19,0
2015,133,8,18,0
2015,133,7,20,0
2015,131,7,20,0
2017,118,9,7,0
2018,136,7,24,0
2016,135,7,22,0
2015,128,7,18,0
2016,130,6,17,0
2015,127,11,15,0
1996,141,9,28,1
1996,134,10,20,0
1996,144,10,30,0
2008,123,9,10,0
2009,130,8,18,3
2008,127,8,14,2
2008,128,8,14,1
2008,128,8,14,1
2009,133,7,22,0
2009,NA,2,15,0
2008,129,9,14,2
2009,133,10,19,0
2008,135,7,26,1
2008,138,8,27,1
2009,127,9,16,0
2008,142,8,31,0
2008,145,7,36,0
2009,131,8,18,0
2008,147,8,36,0
2009,129,10,16,2
2008,145,5,36,0
2009,NA,6,16,0
2010,131,11,18,1
2010,131,8,22,1
1986,151,9,35,1
1987,136,10,25,3
1986,155,10,45,1
1986,158,9,48,0
1988,144,10,33,0
1989,134,9,23,0
1987,133,11,21,0
1989,131,9,15,3
1988,135,6,22,0
1987,131,9,20,2
1987,132,10,22,1
1987,129,7,20,0
1988,140,7,28,2
1987,131,10,21,2
1988,145,9,35,0
1989,127,9,14,2
1987,132,9,23,3
1987,134,7,23,2
1987,135,11,23,4
1988,137,8,23,1
1987,135,10,25,0
1987,139,11,28,0
1993,132,11,21,1
1992,139,10,27,1
1993,131,9,19,2
1992,135,9,23,0
1987,135,11,24,3
1988,143,9,31,0
1986,152,9,42,2
1987,138,10,28,0
1988,137,9,25,2
1987,139,9,28,0
1988,148,8,39,0
1987,131,10,20,2
1987,134,11,23,0
1987,135,10,22,3
1988,149,9,39,1
1987,135,8,26,0
1988,146,7,38,0
1988,138,10,26,1
1987,135,11,23,3
1989,139,11,26,0
1987,138,10,27,0
1987,139,10,28,0
1987,139,11,26,2
1988,138,8,27,2
1988,140,7,31,1
1986,148,6,39,1
1987,137,7,30,1
1987,130,10,19,0
1986,150,8,37,3
1987,132,11,22,4
1988,139,7,30,1
1986,150,9,41,0
1986,149,7,40,0
1986,149,9,36,0
1987,130,11,18,2
1987,129,9,19,1
1987,137,11,26,0
1988,149,10,38,0
1990,130,10,17,0
1989,134,12,17,0
1988,149,6,41,0
1988,150,10,40,1
1989,135,8,25,2
1990,128,5,19,0
1996,137,9,26,2
1997,127,12,9,2
1998,136,8,25,0
1997,129,8,18,0
1999,131,9,16,0
1998,130,9,14,0
2012,134,9,15,1
2010,128,13,14,1
2010,125,11,12,0
2010,129,10,17,0
2010,130,6,21,2
2010,137,12,13,0
1987,142,17,21,1
1988,148,8,39,0
1989,145,11,33,1
1988,143,9,33,1
1989,137,10,22,0
1988,135,6,25,0
1988,138,6,24,1
1988,140,6,31,0
1989,132,7,20,0
1988,142,7,33,1
1988,143,7,30,0
1989,149,7,43,0
1990,125,10,10,1
1989,134,10,22,3
1988,146,9,36,0
1988,147,6,38,0
1988,147,6,38,0
1989,141,6,34,3
1988,149,9,38,0
1989,134,9,22,1
1988,149,9,38,0
1990,133,9,21,0
1988,149,7,39,0
1989,134,10,20,3
1989,129,11,13,2
1989,130,7,18,1
1989,129,8,18,1
1989,129,6,16,1
1989,132,8,22,1
1989,131,10,17,2
1989,132,9,21,2
1989,133,10,20,1
1990,128,9,15,2
1989,132,11,18,2
1989,133,8,24,0
1990,129,12,13,1
1989,136,9,22,0
1989,133,8,24,3
1989,134,10,18,0
1989,137,7,26,0
1989,137,6,30,2
1990,126,8,16,1
1989,137,6,30,0
1989,140,9,29,0
1988,140,6,28,2
1989,139,10,29,0
1988,143,8,34,0
1994,135,7,28,2
1988,145,7,36,1
1989,141,7,33,0
1993,132,8,24,0
1990,134,8,27,1
1992,136,9,24,0
1990,125,11,7,1
1989,132,11,17,1
1988,146,9,35,1
1988,143,7,33,1
1988,144,7,35,0
1988,147,6,40,1
1989,141,8,31,1
1990,131,8,23,0
1988,144,7,35,0
1989,137,7,28,0
1988,147,9,39,0
1988,148,7,39,0
1988,147,7,39,1
1988,150,9,39,0
1988,148,13,31,2
1988,148,7,39,0
1989,NA,9,22,1
1989,135,7,26,1
1989,130,8,17,0
1990,NA,11,7,3
1989,143,9,34,0
1991,131,10,17,0
1989,140,11,30,1
1989,142,6,35,2
1990,136,7,27,0
1991,141,8,30,2
1989,147,10,34,0
1989,144,7,36,1
1989,142,8,33,1
1989,146,6,42,0
