"year","hatchdate","cs","layday","recruit"
1982,140,13,24,2
1981,142,12,22,0
1981,134,10,20,0
1982,139,12,20,1
1981,146,10,34,0
1981,145,10,33,0
1981,134,10,18,NA
1981,148,10,37,0
1984,149,13,31,0
1982,138,10,26,0
1983,137,10,27,1
1981,140,10,25,1
1982,136,10,25,2
1982,136,9,25,1
1981,135,7,19,2
1983,135,9,25,0
1981,145,11,33,1
1982,140,11,26,1
1982,137,9,24,2
1983,136,9,25,0
1981,133,9,19,0
1981,144,10,33,0
1981,147,11,36,0
1981,144,10,32,1
1985,137,11,22,0
1982,137,11,25,3
1983,137,10,26,0
1984,145,12,28,1
1980,141,11,23,1
1983,137,9,27,0
1982,155,8,47,0
1982,146,9,36,1
1980,NA,9,42,0
1980,141,10,27,1
1980,148,10,36,1
1980,136,11,21,2
1981,139,8,23,2
1980,135,11,20,3
1984,150,8,37,0
1981,136,10,18,1
1982,140,10,26,3
1980,143,8,27,0
1983,138,10,26,0
1980,141,10,26,2
1982,140,10,27,5
1981,145,10,34,0
1983,144,7,34,1
1980,141,9,29,0
1981,NA,10,14,1
1983,130,11,18,2
1982,134,10,21,0
1984,151,11,35,0
1980,137,11,23,2
1980,145,10,31,1
1980,139,11,20,3
1981,136,9,17,0
1981,141,10,27,0
1982,136,8,24,0
1981,152,9,42,0
1982,140,11,27,3
1981,138,11,17,1
1982,142,11,25,2
1981,142,11,27,1
1981,141,12,26,2
1980,NA,10,32,0
1980,155,8,47,2
1981,137,9,23,0
1980,143,9,30,1
1981,144,13,22,2
1980,138,8,26,1
1980,136,11,21,3
1980,134,12,19,2
1980,142,11,27,0
1980,142,10,27,1
1980,143,11,29,1
1980,149,9,37,2
1982,142,7,27,0
1981,143,8,29,1
1980,136,11,22,2
1983,130,11,18,0
1982,NA,11,20,0
1982,153,9,42,2
1981,130,9,15,0
1980,134,10,19,3
1981,138,4,25,0
1980,141,9,28,3
1980,147,10,37,1
1981,139,10,25,0
1980,145,6,32,0
1980,134,9,21,2
1981,134,9,19,0
1982,143,10,29,2
1980,134,10,20,0
1981,146,9,35,0
1983,147,8,36,1
1981,135,11,19,0
1983,143,11,28,2
1982,142,10,27,2
1981,142,9,29,1
1981,140,10,27,2
1982,139,12,24,5
1981,136,11,23,3
1981,137,11,21,2
1981,134,6,24,0
1982,135,10,24,2
1981,140,9,26,0
1981,144,8,35,0
1982,136,8,26,5
1983,140,10,28,0
1981,143,6,35,1
1982,138,8,26,1
1981,144,8,34,0
1981,144,6,34,0
1982,140,9,27,1
1981,143,9,31,0
1982,140,9,27,1
1981,147,9,38,1
1981,143,7,34,1
1982,141,8,32,1
1981,145,8,24,0
1981,137,6,24,0
1983,137,10,25,0
1982,137,11,21,4
1981,133,10,20,0
1981,144,8,33,2
1981,143,8,27,1
1981,136,7,24,0
1984,174,9,55,NA
1982,137,9,25,0
1981,146,8,37,0
1981,132,10,16,2
1981,129,8,17,1
1981,142,7,33,0
1981,144,8,33,1
1981,133,10,18,1
1981,146,9,33,0
1981,145,11,32,0
1981,137,5,22,1
1981,133,9,19,0
1982,136,9,26,1
1983,144,9,34,0
1981,136,8,23,0
1981,137,9,20,0
1981,143,11,20,1
1981,137,5,23,0
1981,140,7,31,1
1982,138,8,27,1
1981,146,9,36,0
1981,133,7,24,0
1981,149,8,41,0
1981,164,NA,55,0
1981,147,8,42,0
1982,132,10,20,2
1983,146,10,30,0
1981,137,10,21,3
1982,134,10,24,0
1981,136,8,23,0
1981,144,11,32,1
1981,137,8,24,0
1981,136,7,21,0
1981,144,8,25,0
1981,144,9,33,3
1981,134,10,18,2
1981,133,12,15,0
1982,139,10,26,1
1981,136,10,20,1
1981,138,11,21,1
1980,144,10,32,0
1981,156,10,43,0
1981,144,7,35,2
1982,139,9,25,0
1981,145,8,35,0
1981,143,8,33,1
1982,142,10,27,3
1981,142,11,25,2
1981,140,10,23,0
1981,NA,8,33,0
1981,145,8,35,1
1981,144,8,34,0
1982,139,7,29,1
1981,143,7,35,0
1983,137,8,28,0
1985,135,10,22,0
1984,146,10,34,2
1981,136,9,21,1
1983,NA,12,27,2
1982,137,9,25,1
1983,143,10,32,1
1982,146,9,37,1
1982,143,9,31,0
1982,141,9,26,1
1983,137,10,25,2
1982,140,10,28,6
1982,145,6,37,3
1982,144,8,33,0
1983,138,4,32,0
1983,141,10,30,2
1982,141,10,29,1
1982,141,11,25,2
1983,142,12,27,0
1982,142,9,30,1
1983,148,10,29,1
1984,156,7,43,0
1983,141,9,30,0
1982,139,7,29,1
1983,143,12,29,0
1982,140,10,27,3
1983,144,12,30,1
1982,139,9,28,2
1983,145,10,32,1
1982,141,8,30,2
1984,151,10,34,0
1983,140,11,27,0
1982,143,11,27,4
1983,142,8,32,1
1984,154,8,41,0
1982,140,9,28,2
1982,141,7,29,0
1982,166,8,56,1
1982,144,8,35,0
1982,151,8,43,0
1982,143,8,35,4
1983,143,11,30,2
1982,167,7,58,1
1985,136,10,20,0
1984,141,8,26,1
1982,NA,8,21,0
1982,149,8,39,0
1982,149,5,31,0
1983,132,11,20,1
1982,137,10,25,3
1985,131,12,16,1
1984,144,11,31,3
1986,145,11,32,2
1982,NA,9,25,0
1982,152,9,41,3
1983,140,11,28,1
1987,140,9,31,0
1984,147,9,36,4
1985,NA,NA,46,1
1982,138,9,27,1
1986,164,8,50,0
1982,138,9,28,5
1982,140,9,30,0
1982,142,8,31,2
1982,137,9,26,4
1983,142,9,29,1
1982,142,9,29,2
1983,136,11,24,0
1982,139,9,27,4
1982,140,9,29,0
1982,137,10,25,0
1983,140,11,27,0
1982,141,9,29,3
1985,133,11,19,2
1986,146,11,32,1
1983,144,9,35,1
1984,162,6,54,0
1983,141,8,32,2
1983,140,9,28,1
1983,133,8,21,0
1983,138,12,25,2
1983,148,10,36,1
1983,146,9,32,1
1983,143,10,32,1
1983,145,8,35,0
1983,141,9,30,0
1983,141,8,29,1
1982,140,9,27,1
1983,137,9,26,3
1984,157,9,46,2
1983,140,9,29,0
1982,143,8,33,1
1982,142,10,29,0
1983,136,14,20,0
1982,142,12,26,2
1983,178,8,68,NA
1983,131,10,20,2
1983,144,4,38,0
1982,148,11,33,4
1982,143,10,34,2
1983,139,8,30,2
1983,144,NA,36,0
1985,134,8,22,1
1984,142,9,30,4
1984,151,10,36,1
1985,134,10,23,2
1983,152,7,44,0
1983,141,9,30,1
1983,140,10,30,1
1983,136,11,25,1
1983,138,7,30,2
1983,137,9,25,0
1983,140,7,30,0
1983,137,13,21,0
1983,136,7,26,0
1983,136,9,26,0
1983,138,7,30,0
1982,145,11,33,3
1983,147,9,35,0
1982,146,9,37,2
1983,141,8,29,0
1983,142,12,29,0
1983,146,10,34,0
1984,144,10,31,0
1985,138,10,24,0
1983,142,9,30,3
1984,174,NA,63,NA
1984,155,10,38,0
1981,134,9,19,0
1981,136,9,23,0
1981,141,10,32,1
1981,146,9,35,0
1981,143,8,35,1
1981,151,7,36,0
1981,143,10,26,0
1981,146,7,37,1
1987,133,8,23,1
1981,150,9,41,0
1983,143,8,33,0
1984,154,10,39,0
1983,144,8,32,0
1982,147,8,33,0
1982,141,11,28,2
1983,140,9,28,1
1982,135,8,25,1
1982,142,9,30,2
1983,147,11,32,1
1982,142,11,29,4
1982,141,9,30,4
1983,143,10,32,0
1983,146,10,32,0
1983,140,7,32,1
1984,147,9,33,1
1984,153,8,42,0
1983,143,7,34,0
1983,146,9,35,1
1983,146,8,34,0
1984,177,8,66,NA
1983,150,9,34,0
1984,NA,9,37,0
1985,135,10,25,0
1984,172,8,61,NA
1983,142,11,29,1
1984,145,9,33,1
1983,143,9,32,0
1983,141,9,31,0
1982,136,9,27,1
1981,135,6,26,0
1981,136,12,17,1
1981,137,6,24,1
1982,137,9,25,4
1984,142,6,28,1
1983,139,8,28,0
1981,144,9,35,3
1981,145,8,34,0
1981,145,7,27,0
1981,146,10,34,0
1982,143,10,29,1
1981,147,9,38,0
1981,140,9,26,1
1981,146,8,36,0
1981,145,7,36,2
1981,146,7,38,0
1981,145,8,36,0
1983,141,11,27,0
1982,132,8,24,1
1983,132,8,20,0
1984,138,8,24,1
1981,150,10,39,0
1982,142,9,30,4
1982,137,7,27,1
1983,NA,7,26,0
1983,152,8,36,0
1982,149,10,37,0
1981,149,12,35,0
1981,149,8,41,0
1981,147,9,39,1
1981,152,8,45,0
1982,154,9,43,1
1982,NA,7,27,0
1984,152,6,35,0
1982,143,7,33,4
1983,139,8,29,1
1983,146,8,32,0
1982,138,8,27,2
1984,161,9,49,0
1982,NA,10,24,0
1982,141,9,29,1
1984,158,12,38,0
1985,NA,7,71,NA
1983,147,10,32,1
1982,143,10,30,5
1982,141,9,30,6
1983,137,10,26,0
1982,138,8,25,3
1982,141,9,29,0
1982,142,9,31,2
1983,140,9,28,0
1982,135,8,25,0
1982,140,8,30,2
1983,144,5,33,0
1982,137,8,28,3
1982,139,8,29,4
1982,143,7,33,1
1981,156,7,49,0
1983,148,5,38,0
1982,138,5,31,2
1983,141,8,32,0
1982,137,6,29,0
1988,138,7,29,1
1985,132,7,21,0
1986,143,7,35,3
1989,139,6,28,0
1987,133,8,23,1
1984,144,8,31,1
1982,141,9,30,2
1983,147,9,35,0
1982,140,8,31,2
1983,142,8,32,1
1982,136,10,24,0
1983,141,10,29,1
1982,145,6,33,2
1983,148,10,37,2
1983,146,8,32,1
1982,144,9,34,0
1983,NA,9,41,0
1982,141,9,28,2
1984,145,9,32,0
1982,144,9,34,0
1983,141,9,28,2
1982,140,9,27,3
1983,144,9,31,0
1982,137,7,27,0
1982,138,8,28,3
1983,142,9,31,2
1983,138,9,27,0
1983,140,10,29,3
1983,142,10,30,1
1983,140,10,28,0
1983,142,8,30,2
1983,143,8,33,1
1983,146,9,36,1
1983,141,8,31,1
1983,139,9,29,1
1985,136,12,22,3
1987,130,12,18,4
1983,137,11,25,2
1984,148,11,36,2
1983,146,9,35,0
1983,143,10,31,0
1984,150,8,36,0
1983,141,9,30,0
1984,146,8,32,1
1985,NA,10,20,0
1983,136,11,22,0
1983,140,9,28,0
1983,137,10,26,2
1983,142,7,34,0
1983,137,9,25,0
1983,143,9,31,0
1984,151,8,36,0
1985,139,10,24,3
1984,147,8,34,0
1987,134,9,22,1
1986,153,9,40,1
1983,138,8,27,0
1983,145,6,36,0
1983,147,6,39,1
1983,142,8,33,0
1983,146,9,34,0
1984,147,9,32,0
1983,149,9,35,0
1983,143,8,31,0
1984,147,10,32,0
1983,145,10,33,0
1983,142,8,34,0
1983,142,11,29,0
1982,142,8,32,0
1983,145,8,33,1
1987,143,12,31,0
1987,131,11,20,0
1983,145,10,30,1
1983,142,10,29,2
1984,150,9,33,0
1983,147,9,33,0
1983,140,8,27,1
1983,142,7,31,0
1983,145,10,33,0
1983,147,9,37,0
1984,147,9,32,0
1984,154,7,42,0
1983,139,8,30,1
1983,141,8,32,1
1983,145,7,32,0
1984,157,9,45,0
1983,144,9,33,2
1985,141,10,29,6
1983,148,7,39,1
1983,143,NA,31,0
1983,139,9,27,0
1983,142,7,33,0
1982,153,8,45,0
1983,145,10,32,0
1982,140,8,28,0
1983,141,9,28,0
1983,140,6,31,0
1982,143,8,32,2
1985,140,8,25,1
1984,145,5,35,0
1984,NA,9,24,0
1982,144,9,33,2
1983,147,9,36,0
1984,159,6,53,1
1982,144,13,29,0
1983,142,10,30,2
1983,140,9,28,1
1983,139,8,28,0
1983,140,9,30,0
1983,136,9,25,1
1982,141,11,27,0
1983,145,10,32,1
1983,147,7,36,0
1982,137,9,26,1
1983,129,10,18,3
1983,140,10,28,2
1983,143,9,32,0
1983,148,8,34,0
1983,164,6,56,0
1983,153,9,42,0
1987,131,11,19,1
1984,153,9,38,1
1986,154,9,38,0
1985,132,12,16,0
1983,139,9,26,0
1983,146,7,37,0
1984,141,9,27,3
1983,138,9,28,1
1983,141,8,30,1
1983,139,10,27,1
1983,147,9,32,0
1983,145,10,32,1
1983,142,11,29,1
1984,143,8,32,3
1983,137,11,21,0
1983,137,10,25,1
1983,146,11,31,3
1984,158,10,45,1
1984,156,6,44,0
1984,158,10,43,0
1986,149,8,38,0
1984,151,7,35,0
1986,147,7,35,2
1987,131,10,20,5
1985,134,10,22,3
1983,149,9,34,0
2005,138,8,28,0
1981,144,10,32,0
1982,140,10,25,2
1983,138,10,26,1
2019,146,10,45,0
1987,135,9,23,0
1985,144,9,30,1
1986,152,8,38,1
1984,152,7,40,0
1984,148,8,33,1
1984,164,8,53,0
1985,144,11,32,3
1986,147,10,34,1
1985,134,11,21,0
1984,154,6,40,0
1985,167,8,57,0
1987,133,9,22,0
1984,NA,9,50,0
1984,NA,10,25,0
1984,156,10,45,1
1985,135,9,20,0
1987,134,11,21,2
1984,146,10,31,1
1988,138,11,21,3
1986,149,10,35,5
1985,137,10,23,0
1984,144,8,30,1
1983,145,10,34,2
1983,136,6,27,2
1984,147,6,37,0
1983,142,10,28,0
1983,140,8,27,0
1984,146,9,33,0
1983,144,9,30,0
1983,139,7,30,0
1983,137,9,26,2
1984,144,9,30,0
1984,146,8,34,0
1985,NA,11,14,0
1985,133,9,19,1
1984,147,7,31,0
1984,148,7,35,2
1985,142,10,29,3
1986,166,8,58,0
1986,146,5,34,0
1987,136,12,21,0
1985,137,12,19,1
1986,146,11,32,1
1986,157,10,48,1
1984,155,8,44,0
1983,144,8,32,0
1983,139,9,29,0
1984,150,7,37,0
1983,137,10,25,1
1984,154,11,40,1
1983,139,11,26,0
1983,135,12,20,0
1983,138,9,27,2
1983,138,9,28,0
1983,135,10,20,0
1983,140,8,28,1
1983,136,12,22,1
1983,138,13,24,1
1983,134,12,18,0
1983,141,10,30,0
1983,134,12,19,0
1983,132,8,21,0
1983,145,10,32,4
1984,149,10,29,0
1983,141,9,29,1
1983,149,6,39,0
1983,145,12,33,1
1983,155,8,45,0
1985,141,9,23,2
1984,145,9,31,0
1985,136,12,21,1
1984,145,8,34,0
1984,147,10,33,1
1984,157,9,45,0
1984,153,7,44,0
1984,147,8,35,0
1984,153,6,37,0
1984,151,8,37,1
1984,154,10,41,0
1984,146,7,32,0
1986,150,10,36,0
1985,139,11,22,0
1985,175,8,65,NA
1987,132,12,20,2
1984,148,9,32,3
1984,150,8,35,0
1985,148,10,35,1
1984,145,10,31,1
1984,153,7,41,0
1985,139,10,21,1
1984,151,8,33,1
1984,148,5,38,0
1984,143,9,33,3
1984,158,4,50,0
1984,148,6,33,1
1985,132,9,20,1
1985,132,6,22,2
1985,138,11,23,1
1986,145,8,36,1
1985,147,7,37,0
1987,130,9,21,4
1985,140,8,27,0
1987,138,9,27,3
1986,143,9,31,0
1985,144,10,29,2
1993,142,8,34,0
1994,134,8,25,0
1993,133,9,23,0
1994,130,7,20,0
1993,163,8,53,0
1994,133,7,24,0
1997,140,10,31,0
1996,149,9,36,2
1993,134,9,23,1
1993,128,12,15,1
1993,133,11,21,2
1993,134,8,24,0
2017,133,7,23,0
2019,133,9,23,0
1984,144,9,28,2
1984,148,8,37,1
1984,149,7,36,1
1984,151,7,39,0
1985,131,10,17,2
1984,NA,9,53,0
1984,NA,10,45,0
1984,170,10,61,0
1985,135,8,24,1
1984,156,7,45,0
1984,148,10,34,0
1985,135,12,20,0
1984,152,5,43,0
1987,131,11,19,3
1989,134,11,17,3
1986,153,10,34,0
1988,140,10,23,2
1985,138,12,21,3
1984,NA,6,51,0
1984,161,9,50,0
1985,134,9,22,0
1984,151,5,43,0
1984,146,5,37,0
1987,134,10,22,0
1987,131,11,20,3
1987,144,8,36,0
1986,148,9,37,3
1985,137,7,28,1
1987,133,10,23,3
2016,129,7,15,NA
2016,130,6,17,NA
2017,117,10,4,0
1987,132,11,21,2
1988,136,10,23,0
1987,132,11,20,3
1988,136,9,24,0
1987,131,11,18,1
1989,125,11,9,4
1988,145,7,37,1
1989,135,6,25,1
1988,145,10,28,0
1985,133,10,21,4
1985,141,11,30,2
1985,132,9,21,0
1985,150,7,39,1
1984,153,7,42,1
1984,146,9,32,0
1985,137,10,20,3
1984,152,8,41,1
1985,136,9,23,1
1987,134,9,22,0
1986,148,8,36,0
1987,NA,5,68,0
1987,133,11,21,7
1984,157,9,47,2
1985,135,9,23,2
1985,NA,11,21,0
1984,154,8,43,1
1985,147,9,34,1
1984,149,5,36,0
1985,135,11,21,2
1987,134,10,24,2
1986,151,9,41,1
1985,139,9,25,0
1986,142,6,33,0
1985,144,9,34,1
1988,150,8,39,0
1989,135,11,17,0
1987,135,10,23,1
1987,131,11,20,0
1987,135,10,25,0
1988,149,8,32,1
1987,137,11,26,3
1989,139,13,20,1
1987,135,12,22,1
1988,142,11,26,1
1987,135,10,23,0
1987,146,9,35,0
1987,135,11,23,2
1987,132,8,23,1
1989,137,8,28,0
1988,140,7,28,0
1988,137,8,27,1
1991,142,12,27,1
1988,137,4,27,0
1989,132,6,19,1
1987,136,7,28,1
1987,150,9,42,0
1989,133,9,17,0
1988,143,8,34,0
1989,132,8,20,2
1987,139,9,29,3
1988,147,8,33,0
1987,138,10,26,4
1989,137,9,27,4
1990,131,7,16,0
1987,135,11,23,1
1987,130,10,20,0
1988,148,7,40,0
1989,147,8,37,1
1988,147,7,37,0
1990,116,8,5,3
1989,124,8,13,1
2016,134,6,23,0
2016,139,8,23,NA
2016,139,5,30,NA
2018,133,10,19,0
2017,124,9,10,0
1986,148,8,38,0
1987,135,11,22,1
1989,135,11,20,0
1988,139,9,24,0
1986,146,9,35,3
1987,127,8,18,4
1988,133,9,18,2
1989,125,10,8,1
1986,156,9,45,2
1986,152,9,41,1
1987,132,11,20,1
1986,145,9,33,1
1987,134,10,23,4
1990,135,8,26,NA
1989,135,8,19,0
1986,150,7,41,0
1987,131,7,22,2
1986,159,9,49,1
1986,150,9,41,1
1987,134,9,23,0
1986,153,8,43,1
1987,134,13,21,1
1986,150,12,38,0
1987,137,10,25,0
1986,156,9,46,0
1987,137,10,27,2
1987,132,11,21,1
1986,154,9,43,2
1987,138,11,25,3
1986,151,7,39,1
1987,131,10,21,0
1986,154,9,41,1
1986,152,11,41,0
1987,131,9,20,1
1987,132,9,21,4
1987,131,8,22,1
1988,146,7,37,1
1987,132,10,20,2
1986,147,10,35,5
1986,155,3,45,0
1988,145,7,37,1
1987,130,9,21,2
1989,140,8,32,0
1988,NA,8,32,0
1989,134,8,22,2
1987,131,9,21,0
1986,149,9,38,1
1986,147,9,34,3
1986,151,11,37,0
1986,153,10,43,3
1987,133,10,22,2
1987,133,10,21,2
1989,130,9,16,3
1986,149,10,37,1
1988,145,8,36,0
1989,129,8,16,0
1988,140,7,29,0
1989,137,10,24,1
1988,145,9,34,0
1988,139,10,26,0
1986,155,10,44,0
1987,135,13,22,0
1987,134,10,23,2
1986,150,8,40,0
1986,150,9,38,2
1987,130,11,18,4
1989,134,10,21,4
1988,146,9,35,0
1986,151,8,42,0
1990,128,9,16,0
1987,133,10,22,1
1986,152,7,44,1
1987,131,9,21,1
1986,150,7,41,0
1986,161,9,51,0
1988,138,8,22,0
1987,135,11,23,2
1987,132,9,21,1
1988,138,6,26,1
1989,132,7,20,3
1990,132,10,21,1
1987,135,12,22,3
1988,139,9,23,1
1986,151,11,39,0
1986,152,11,39,0
1987,134,12,20,2
1987,135,10,22,2
1988,136,6,23,1
1986,145,8,32,2
1987,129,9,20,2
1986,143,6,33,3
1987,133,10,21,0
1988,137,9,23,3
1986,148,9,36,0
1987,131,11,20,2
1989,143,9,34,0
1986,148,9,36,2
1987,133,12,19,2
1985,136,9,23,2
1985,135,8,23,0
1986,148,7,38,2
1985,140,10,30,1
1985,136,11,23,1
1987,129,10,19,2
1986,146,10,35,2
1985,140,9,29,2
1985,135,11,21,0
1986,153,10,42,1
1985,145,9,34,1
1985,141,10,29,3
1988,143,10,29,0
1987,130,11,19,2
1986,140,11,30,2
1985,135,10,23,1
1989,134,9,21,1
1985,135,7,25,2
1985,146,9,35,0
1985,146,10,35,2
1985,146,10,34,1
1986,148,10,36,0
1985,138,9,28,2
1987,132,11,21,1
1988,154,8,45,0
1987,138,11,26,3
1988,147,10,34,0
1989,136,11,18,0
2001,145,6,32,0
2002,135,9,21,0
1985,140,10,27,2
1986,146,9,36,2
1985,138,8,29,1
1986,149,10,37,4
1986,144,6,36,3
1987,135,11,23,2
1986,158,10,47,2
1986,152,6,45,1
1986,150,9,39,1
1987,135,12,22,2
1986,151,10,39,0
1986,156,7,48,1
1986,151,8,41,3
1986,148,9,36,0
1987,134,12,21,2
1988,139,9,26,2
1986,148,10,34,3
1989,142,9,33,1
1988,153,6,43,0
1988,145,8,29,0
1987,130,11,20,1
1988,139,10,25,0
1987,130,12,18,1
1989,128,11,11,1
1987,137,10,23,1
1989,130,8,17,0
1990,127,7,15,2
1987,131,9,21,2
1988,147,5,39,1
1988,147,7,37,0
1987,130,10,19,2
1987,132,9,22,1
1989,131,8,18,0
1987,135,7,25,1
1991,141,8,27,3
1988,145,6,37,0
1987,132,10,22,2
1987,134,10,24,4
1989,130,6,21,0
1988,134,6,23,1
1987,137,6,29,1
1987,135,9,24,2
1987,136,10,25,2
1987,133,10,22,5
1987,133,9,24,1
1988,137,7,27,2
1986,155,7,47,0
1988,147,8,37,1
1986,151,9,39,0
1987,135,11,23,0
1997,120,10,8,1
1995,129,6,21,0
1987,129,12,17,4
1986,146,10,33,1
1987,132,9,22,2
1986,146,8,35,0
1988,148,8,38,0
1987,132,11,20,2
1986,151,7,40,0
1987,129,10,19,3
1986,143,10,32,2
1988,142,8,32,0
1986,147,9,37,1
1986,144,6,36,0
1986,164,9,56,0
1986,146,8,37,1
1986,145,8,35,2
1986,150,9,39,4
1987,140,10,29,0
1986,146,8,35,1
1989,130,9,16,5
1988,139,7,29,0
1989,134,8,23,0
1990,138,9,29,1
1989,138,8,28,0
1988,148,7,39,0
1989,128,10,18,0
1988,137,9,25,0
1988,138,7,27,1
1989,131,10,19,3
1989,125,11,13,2
1988,136,9,22,0
1988,136,9,23,2
1988,145,8,36,0
1989,134,9,20,0
1988,149,7,41,0
1990,128,9,16,1
1988,148,6,39,0
1989,132,8,17,2
1994,136,8,26,0
1992,135,10,22,3
1993,133,11,20,1
1989,133,9,22,1
1988,143,7,32,2
1988,142,6,33,1
1989,130,9,18,2
1990,122,9,11,0
1989,134,8,23,4
1988,148,8,39,0
1990,130,9,19,2
1988,143,8,32,0
1988,142,7,31,0
1990,149,7,43,0
1988,146,9,35,0
1988,148,10,36,0
1988,142,9,33,2
1988,145,7,36,0
1988,137,6,27,0
1990,126,9,15,0
1988,144,7,36,1
1988,150,6,42,0
1990,132,7,26,1
1989,141,8,34,0
1988,149,9,39,0
1990,127,6,16,NA
1991,138,8,25,2
1989,135,6,24,1
1989,127,6,12,0
1988,149,8,40,0
1988,144,9,34,1
1988,140,9,28,1
1990,118,8,6,0
1991,129,8,18,1
1986,149,11,35,0
1998,135,8,24,1
1998,139,7,30,0
2002,124,4,16,1
2001,NA,5,37,0
2000,137,5,29,2
2000,143,10,30,0
2004,138,11,22,1
2002,130,10,19,2
2000,132,7,22,3
2007,126,9,16,0
2005,132,8,23,2
2003,132,9,22,1
2006,138,9,27,2
2004,134,9,19,0
2003,136,10,23,0
2003,135,8,24,0
2004,130,10,17,0
2003,134,8,51,0
2003,134,7,24,0
2003,131,8,21,0
2004,127,8,15,3
2004,133,9,21,2
2003,132,10,20,0
2003,NA,9,25,0
2007,125,8,15,0
2006,135,8,25,2
2003,137,9,25,0
2007,127,8,18,0
2006,135,7,25,0
2004,133,8,20,0
2005,134,7,24,0
2003,131,8,22,0
2007,127,8,19,0
2006,135,9,24,3
2003,137,8,25,0
2004,131,8,20,2
2008,133,8,20,0
2007,126,10,16,0
2005,126,7,14,1
2003,135,10,21,0
2004,135,12,19,2
2003,137,5,24,0
2003,139,7,28,0
2003,134,9,19,0
2003,137,8,24,0
2003,134,8,24,0
2003,135,8,25,1
2005,134,7,25,2
2004,125,9,12,2
2004,128,10,10,3
2005,129,9,16,0
2006,137,8,25,1
2006,137,9,25,0
2005,133,8,22,1
2005,138,10,26,0
2004,130,10,18,1
2004,139,10,28,2
2007,130,9,19,0
2005,141,7,32,0
2005,131,8,17,0
2006,140,10,29,0
2004,136,9,24,1
2006,129,8,18,0
2007,121,8,11,1
2005,136,7,24,0
2007,126,7,17,0
2007,128,9,17,1
2008,137,9,25,0
2009,125,7,14,0
2010,135,8,25,3
2008,142,8,32,1
2005,134,7,23,0
2005,NA,8,23,0
2005,NA,7,28,0
2005,138,8,27,1
2005,137,7,28,0
2005,139,8,28,1
2005,143,7,34,1
2023,129,8,20,0
2023,141,7,34,0
2023,139,6,31,0
2021,150,8,41,0
2023,133,9,20,0
2023,141,10,23,0
2023,142,8,33,0
2022,124,6,16,1
2023,122,6,10,0
2021,134,8,24,2
2021,137,8,27,2
2021,139,5,30,2
2023,139,8,28,0
2022,138,7,30,0
2022,133,8,23,0
2022,132,8,22,0
2023,133,10,22,0
2021,143,7,34,0
2022,130,8,21,0
2022,129,9,16,3
2021,144,7,32,1
2022,122,9,11,3
2023,131,6,21,0
2023,136,8,23,0
2023,129,11,12,0
2022,126,9,16,1
2022,128,9,18,0
2023,133,8,22,0
2023,135,7,26,0
2023,135,10,22,0
2023,131,9,18,0
2023,138,8,28,0
2022,129,6,19,0
2023,122,8,10,0
2023,144,7,35,0
2023,121,6,11,0
2022,151,6,44,2
2022,115,6,6,0
2023,126,6,18,0
2022,118,6,10,2
2022,119,6,10,0
2023,132,7,22,0
2022,123,7,15,0
2023,146,6,35,0
2022,125,9,14,0
2022,127,10,16,0
2023,136,9,25,0
2023,135,10,21,0
2022,130,6,20,0
2022,130,9,19,0
2022,131,11,18,0
2023,130,10,18,0
2023,125,10,12,0
2022,134,7,26,0
2023,134,6,26,0
2021,128,7,18,0
2022,131,11,15,0
2021,128,11,13,1
2022,132,9,20,0
2022,124,10,11,1
2022,132,9,21,0
2022,132,7,20,0
2022,125,8,5,0
2023,127,8,16,0
2022,131,10,20,0
2023,141,8,29,0
2023,135,11,22,0
2022,130,11,17,0
2023,NA,9,16,0
2022,130,8,17,0
2023,138,9,27,0
2022,129,12,15,0
2023,136,9,27,0
2022,131,9,21,0
2023,132,9,20,0
2022,128,10,16,0
2021,134,8,22,0
2023,131,10,19,0
2022,125,9,14,1
2023,NA,5,21,0
2022,124,7,14,1
2022,133,6,24,0
2021,137,9,22,1
2022,130,9,21,0
2023,133,12,21,0
2022,128,11,17,0
2023,130,10,20,0
2022,137,8,30,0
2022,139,7,30,1
2023,140,10,28,0
2023,135,9,24,0
2023,136,9,23,0
2022,129,9,13,0
2023,137,10,26,0
2022,134,6,25,0
2023,146,14,26,0
2023,132,10,13,0
2023,134,7,22,0
2023,137,8,28,0
2023,140,6,33,0
2023,127,5,20,0
2023,140,12,24,0
2023,140,9,30,0
2023,155,7,49,0
2023,138,9,26,0
2023,138,5,31,0
2023,138,7,26,0
2023,142,9,31,0
2023,147,7,38,0
2023,145,7,34,0
2023,121,8,9,0
2023,122,9,12,0
2023,128,6,19,0
2023,129,8,17,0
2023,131,8,19,0
2023,135,9,21,0
2023,140,7,24,0
2023,142,7,34,0
2023,143,8,34,0
2023,143,9,34,0
2004,137,10,20,2
2005,131,7,21,1
2003,135,8,24,1
2003,134,9,24,0
2005,143,8,34,0
2005,133,9,20,2
2003,140,7,29,0
2003,132,7,22,0
2003,138,9,25,0
2005,135,8,24,0
2005,122,11,8,1
2003,134,10,23,0
2003,133,8,22,0
2003,138,5,25,0
2006,132,9,20,1
2005,132,7,21,0
2003,131,8,20,0
2003,138,7,27,0
2003,143,9,28,0
2004,129,7,19,3
2003,151,7,43,0
2003,135,8,24,0
2005,138,9,27,3
2003,152,5,43,1
2003,140,5,31,0
2004,139,5,28,1
2003,140,7,31,0
2004,136,7,25,2
